season,week,franchise_id,starter_status,player_id,player_name,pos,team,player_score,should_start
2023,1,0024,starter,15698,"Purdy, Brock",QB,SFO,17.80,1
2023,1,0024,starter,13604,"Barkley, Saquon",RB,NYG,9.30,0
2023,1,0024,starter,14223,"Mattison, Alexander",RB,MIN,13.40,1
2023,1,0024,starter,15259,"Stevenson, Rhamondre",RB,NEP,14.90,1
2023,1,0024,starter,11671,"Evans, Mike",WR,TBB,18.60,1
2023,1,0024,starter,11232,"Hopkins, DeAndre",WR,TEN,13.50,1
2023,1,0024,starter,15287,"St. Brown, Amon-Ra",WR,DET,19.10,1
2023,1,0024,starter,13299,"Kittle, George",TE,SFO,4.90,1
2023,1,0024,starter,13832,"Sanders, Jason",PK,MIA,12.90,1
2023,1,0024,starter,13198,"Garrett, Myles",DE,CLE,8.00,0
2023,1,0024,starter,12221,"Hunter, Danielle",DE,MIN,17.00,1
2023,1,0024,starter,13214,"Watt, T.J.",DE,PIT,33.00,1
2023,1,0024,starter,13837,"Franklin, Zaire",LB,IND,32.00,1
2023,1,0024,starter,12239,"Kendricks, Eric",LB,LAC,13.00,1
2023,1,0024,starter,13813,"Oluokun, Foyesade",LB,JAC,23.00,1
2023,1,0024,starter,13251,"Baker, Budda",S,ARI,8.00,1
2023,1,0024,starter,15850,"Pitre, Jalen",S,HOU,4.00,0
2023,1,0024,starter,14518,"Thompson, Jalen",S,ARI,8.00,1
2023,1,0024,nonstarter,14080,"Singletary, Devin",RB,HOU,1.50,0
2023,1,0024,nonstarter,14113,"Hardman, Mecole",WR,NYJ,0.00,0
2023,1,0024,nonstarter,14059,"Jones, Daniel",QB,NYG,6.46,0
2023,1,0024,nonstarter,13378,"Breida, Matt",RB,NYG,1.60,0
2023,1,0024,nonstarter,14157,"Williams, Quinnen",DT,NYJ,10.00,0
2023,1,0024,nonstarter,14079,"Sanders, Miles",RB,CAR,12.80,1
2023,1,0024,nonstarter,11721,"Mack, Khalil",DE,LAC,4.00,0
2023,1,0024,nonstarter,14857,"Peoples-Jones, Donovan",WR,CLE,2.95,0
2023,1,0024,nonstarter,14902,"Okudah, Jeff",CB,ATL,NA,0
2023,1,0024,nonstarter,11244,"Kelce, Travis",TE,KCC,NA,0
2023,1,0024,nonstarter,14322,"Edwards, T.J.",LB,CHI,20.00,1
2023,1,0024,nonstarter,15808,"Karlaftis, George",DE,KCC,12.00,1
2023,1,0024,nonstarter,14977,"Osborn, K.J.",WR,MIN,6.10,0
2023,1,0024,nonstarter,15261,"Hubbard, Chuba",RB,CAR,8.90,0
2023,1,0024,nonstarter,15379,"Tryon, Joe",DE,TBB,6.00,0
2023,1,0024,nonstarter,14122,"Slayton, Darius",WR,NYG,4.50,0
2023,1,0024,nonstarter,14918,"Terrell, A.J.",CB,ATL,7.00,0
2023,1,0024,nonstarter,15830,"Muma, Chad",LB,JAC,0.00,0
2023,1,0024,nonstarter,15759,"Metchie, John",WR,HOU,NA,0
2023,1,0024,nonstarter,15240,"Lance, Trey",QB,DAL,NA,0
2023,1,0024,nonstarter,12652,"Thomas, Michael",WR,NOS,11.10,0
2023,1,0024,nonstarter,15819,"Wyatt, Devonte",DT,GBP,11.00,0
2023,1,0024,nonstarter,15076,"Rozeboom, Christian",LB,LAR,9.00,0
2023,1,0024,nonstarter,16187,"Downs, Josh",WR,IND,6.00,0
2023,1,0024,nonstarter,16226,"Wilson, Tyree",DE,LVR,1.00,0
2023,1,0024,nonstarter,16222,"Kraft, Tucker",TE,GBP,0.00,0
2023,1,0024,nonstarter,16149,"Levis, Will",QB,TEN,NA,0
2023,1,0024,nonstarter,16168,"Abanikanda, Israel",RB,NYJ,NA,0
2023,1,0024,nonstarter,16196,"Perry, A.T.",WR,NOS,NA,0
2023,1,0024,nonstarter,16228,"Smith, Nolan",DE,PHI,0.00,0
2023,1,0024,nonstarter,16275,"Mapu, Marte",LB,NEP,5.00,0
2023,1,0023,starter,14778,"Tagovailoa, Tua",QB,MIA,29.14,1
2023,1,0023,starter,13610,"Chubb, Nick",RB,CLE,16.70,1
2023,1,0023,starter,14085,"Pollard, Tony",RB,DAL,22.20,1
2023,1,0023,starter,11675,"Adams, Davante",WR,LVR,12.60,0
2023,1,0023,starter,14840,"Aiyuk, Brandon",WR,SFO,32.90,1
2023,1,0023,starter,14836,"Jefferson, Justin",WR,MIN,24.00,1
