season,bowl,bracket,week,game_id,franchise_id,franchise_points,match_result,po_finish,title
2017,PB,Pro Bowl,13,PB-2017-01,0013,199.28,L,5,0
2017,PB,Pro Bowl,13,PB-2017-02,0027,168.73,L,5,0
2017,PB,Pro Bowl,13,PB-2017-01,0011,244.46,W,NA,0
2017,PB,Pro Bowl,13,PB-2017-02,0012,239.26,W,NA,0
2017,SB,Super Bowl RFC,13,SB-2017-01,0025,247.28,W,NA,NA
2017,SB,Super Bowl RFC,13,SB-2017-02,0028,215.11,W,NA,NA
2017,SB,Super Bowl BFC,13,SB-2017-03,0001,186.3,L,7,0
2017,SB,Super Bowl BFC,13,SB-2017-04,0018,187.68,L,7,0
2017,SB,Super Bowl RFC,13,SB-2017-01,0007,229.82,L,7,0
2017,SB,Super Bowl RFC,13,SB-2017-02,0006,197.54,L,7,0
2017,SB,Super Bowl BFC,13,SB-2017-03,0019,205.79,W,NA,NA
2017,SB,Super Bowl BFC,13,SB-2017-04,0017,280.5,W,NA,NA
2017,TB,Toilet Bowl,13,TB-2017-01,0023,162.22,L,5,0
2017,TB,Toilet Bowl,13,TB-2017-02,0015,179.86,W,NA,0
2017,TB,Toilet Bowl,13,TB-2017-01,0033,230.38,W,NA,0
2017,TB,Toilet Bowl,13,TB-2017-02,0035,138.02,L,5,0
2017,PB,Pro Bowl,14,PB-2017-03,0022,205.19,L,4,0
2017,PB,Pro Bowl,14,PB-2017-04,0026,253.7,W,NA,0
2017,PB,Pro Bowl,14,PB-2017-03,0036,225.64,W,NA,0
2017,PB,Pro Bowl,14,PB-2017-04,0024,213.86,L,4,0
2017,SB,Super Bowl RFC,14,SB-2017-05,0025,197.44,L,6,0
2017,SB,Super Bowl RFC,14,SB-2017-06,0028,215.81,L,6,0
2017,SB,Super Bowl BFC,14,SB-2017-07,0019,228.54,W,NA,NA
2017,SB,Super Bowl BFC,14,SB-2017-08,0017,254.16,L,6,0
2017,SB,Super Bowl RFC,14,SB-2017-05,0004,229.44,W,NA,NA
2017,SB,Super Bowl RFC,14,SB-2017-06,0016,260.31,W,NA,NA
2017,SB,Super Bowl BFC,14,SB-2017-07,0029,221.75,L,6,0
2017,SB,Super Bowl BFC,14,SB-2017-08,0005,271.64,W,NA,NA
2017,TB,Toilet Bowl,14,TB-2017-03,0033,247.08,W,NA,0
2017,TB,Toilet Bowl,14,TB-2017-04,0020,225.8,L,4,0
2017,TB,Toilet Bowl,14,TB-2017-03,0031,184.2,L,4,0
2017,TB,Toilet Bowl,14,TB-2017-04,0032,229.04,W,NA,0
2017,PB,Pro Bowl,15,PB-2017-05,0012,235.57,W,NA,0
2017,PB,Pro Bowl,15,PB-2017-06,0036,227.77,L,3,0
2017,PB,Pro Bowl,15,PB-2017-05,0026,235.15,L,3,0
2017,PB,Pro Bowl,15,PB-2017-06,0002,240.64,W,NA,0
2017,SB,Super Bowl RFC,15,SB-2017-09,0004,231.28,L,5,0
2017,SB,Super Bowl BFC,15,SB-2017-10,0019,217.47,L,5,0
2017,SB,Super Bowl RFC,15,SB-2017-09,0016,264.77,W,NA,NA
2017,SB,Super Bowl BFC,15,SB-2017-10,0005,265.5,W,NA,NA
2017,TB,Toilet Bowl,15,TB-2017-05,0033,230.68,L,3,0
2017,TB,Toilet Bowl,15,TB-2017-06,0010,208.42,W,NA,0
2017,TB,Toilet Bowl,15,TB-2017-05,0020,238.94,W,NA,0
2017,TB,Toilet Bowl,15,TB-2017-06,0030,178.64,L,3,0
2017,PB,Pro Bowl,16,PB-2017-07,0011,245.37,W,1,0
2017,PB,Pro Bowl,16,PB-2017-07,0014,201.2,L,2,0
2017,SB,Superbowl,16,SB-2017-11,0005,269.42,W,1,1
2017,SB,Spiel um Platz drei,16,SB-2017-12,0019,222.65,L,4,0
2017,SB,Superbowl,16,SB-2017-11,0016,268.64,L,2,0
2017,SB,Spiel um Platz drei,16,SB-2017-12,0004,233.42,W,3,0
2017,TB,Toilet Bowl,16,TB-2017-07,0020,171.49,L,2,0
2017,TB,Toilet Bowl,16,TB-2017-07,0008,191.54,W,1,0
