"franchise_id","win","pf","pp","coach","all_play_wins","pf_rank","pp_rank","record_rank","all_play_rank","coach_rank","week","true_standing","true_rank"
"0027",2,572.82,636.52,-63.6999999999999,68,35,31,32,35,28,1,161,1
"0032",2,570.56,647.16,-76.6,66,34,33,34,34,24,1,159,2
"0024",2,574.82,694.34,-119.52,70,36,36,36,36,11,1,155,3
"0036",2,563.2,656.44,-93.24,64,33,34,35,33,19,1,154,4
"0012",2,519.2,566.68,-47.48,56,29,19,26,29,33,1,136,5
"0022",2,524.4,630.6,-106.2,60,31,29,31,31,13,1,135,6
"0017",2,524,619.4,-95.4,58,30,27,29,30,17,1,133,7
"0015",2,508.52,642.4,-133.88,54,28,32,33,28,8,1,129,8
"0028",0,536.24,602.14,-65.9,62,32,26,11,32,27,1,128,9
"0023",1,497.6,549,-51.4,52,27,16,19,27,32,1,121,10
"0034",1,494.32,565.12,-70.8,50,26,18,20,26,26,1,116,11
"0011",1,486.94,538.34,-51.4,48,25,14,18,25,31,1,113,12
"0030",2,481.36,625.76,-144.4,44,23,28,30,23,7,1,111,13
"0007",2,481.36,575.36,-94,42,22,22,27,22,18,1,111,14
"0004",2,480.24,532.44,-52.1999999999999,40,21,13,25,21,30,1,110,15
"0003",1,484.56,569.06,-84.4999999999999,46,24,20,21,24,20,1,109,16
"0021",2,460.64,578.24,-117.6,34,18,23,28,18,12,1,99,17
"0026",1,459.16,584.16,-125,32,17,24,22,17,10,1,90,18
"0008",0,476.7,687.94,-211.24,38,20,35,12,20,1,1,88,19
"0005",1,451.04,633.24,-182.2,28,15,30,24,15,2,1,86,20
"0016",1,452.64,468.94,-16.3,30,16,5,13,16,36,1,86,21
"0014",0,467.82,564.62,-96.8,36,19,17,9,19,15,1,79,22
"0031",1,441.24,515.52,-74.28,24,13,10,17,13,25,1,78,23
"0019",1,431.96,597.56,-165.6,22,12,25,23,12,4,1,76,24
"0020",0,445.34,527.94,-82.6000000000001,26,14,12,7,14,21,1,68,25
"0009",0,410.92,452.92,-42,18,10,4,4,10,35,1,63,26
"0002",1,403.4,485.4,-82,14,8,8,15,8,22,1,61,27
"0006",0,422.8,571.88,-149.08,20,11,21,10,11,6,1,59,28
"0033",1,408.32,506.8,-98.48,16,9,9,16,9,14,1,57,29
"0035",1,376.48,472.28,-95.8,10,6,7,14,6,16,1,49,30
"0001",0,380.96,444.64,-63.68,12,7,3,3,7,29,1,49,31
"0025",0,361.04,405.92,-44.88,4,3,2,2,3,34,1,44,32
"0010",0,370.64,546.04,-175.4,6,4,15,8,4,3,1,34,33
"0029",0,373.32,523,-149.68,8,5,11,6,5,5,1,32,34
"0018",0,297.52,378.72,-81.2,0,1,1,1,1,23,1,27,35
"0013",0,338.6,472.28,-133.68,2,2,6,5,2,9,1,24,36
"0017",4,1050.56,1225.56,-175,120,34,31,34,34,24,2,157,1
"0036",4,1076.84,1281.24,-204.4,124,35,35,35,35,15,2,155,2
"0015",4,1081.48,1345.16,-263.68,124,36,36,36,36,6,2,150,3
"0011",3,1034.86,1180.06,-145.2,116,33,26,26,33,31,2,149,4
"0027",4,998.14,1151.62,-153.48,100,30,22,32,29,28,2,141,5
"0032",3,1006.52,1167.92,-161.4,106,32,24,24,31,27,2,138,6
"0024",3,1004.1,1194.62,-190.52,104,31,27,27,30,21,2,136,7
"0022",4,984.4,1223.4,-239,106,29,30,33,32,8,2,132,8
"0005",3,983.88,1269.28,-285.4,92,28,33,30,27,5,2,123,9
"0030",3,964.96,1255.96,-291,98,25,32,29,28,4,2,118,10
"0026",3,965.52,1197.4,-231.88,90,26,28,28,26,10,2,118,11
"0021",3,947.68,1178.08,-230.4,90,23,25,25,25,12,2,110,12
"0007",4,916.72,1105.52,-188.8,80,19,16,31,20,22,2,108,13
"0004",3,941.88,1142.98,-201.1,88,22,21,23,24,17,2,107,14
"0006",1,970,1201.84,-231.84,86,27,29,16,23,11,2,106,15
"0012",2,936.96,1079.02,-142.06,80,21,13,21,19,32,2,106,16
"0028",1,951.1,1129.26,-178.16,84,24,19,13,21,23,2,100,17
"0003",2,905.32,1076.5,-171.18,72,18,12,20,18,25,2,93,18
"0014",1,929.74,1132.9,-203.16,86,20,20,14,22,16,2,92,19
"0002",2,859.96,977.36,-117.4,58,13,8,18,12,34,2,85,20
"0016",1,876.58,960.98,-84.4,60,15,7,7,13,36,2,78,21
"0008",1,864.66,1278.86,-414.2,52,14,34,17,11,1,2,77,22
"0034",1,856.24,1005.48,-149.24,60,12,10,8,14,30,2,74,23
"0023",1,885,1103.72,-218.72,64,17,15,11,17,13,2,73,24
"0031",2,831.4,981.28,-149.88,40,8,9,19,8,29,2,73,25
"0029",2,853.4,1114.96,-261.56,60,11,17,22,15,7,2,72,26
"0020",1,879.7,1095.8,-216.1,62,16,14,10,16,14,2,70,27
"0009",1,834.6,937.6,-103,46,9,6,6,9,35,2,65,28
"0019",1,844.66,1166.04,-321.38,40,10,23,15,7,2,2,57,29
"0033",1,823,1020.06,-197.06,36,7,11,9,6,18,2,51,30
"0010",1,820.16,1123.76,-303.6,48,6,18,12,10,3,2,49,31
"0025",0,698.6,826.96,-128.36,10,4,3,2,2,33,2,44,32
"0001",1,713.12,909.16,-196.04,16,5,4,5,5,19,2,38,33
"0035",1,594.74,790.34,-195.6,10,1,2,4,4,20,2,31,34
"0018",0,621.8,789.4,-167.6,2,2,1,1,1,26,2,31,35
"0013",0,681.96,914.12,-232.16,10,3,5,3,3,9,2,23,36
"0017",6,1528.48,1885.4,-356.92,180,36,34,35,36,12,3,153,1
"0036",4,1525.8,1863.6,-337.8,172,35,33,29,35,17,3,149,2
"0015",6,1520.36,1947.34,-426.98,166,34,35,36,34,5,3,144,3
"0004",5,1478.72,1743.02,-264.3,158,32,24,30,31,27,3,144,4
"0021",5,1454.88,1802.08,-347.2,158,29,31,31,32,15,3,138,5
"0024",4,1474.18,1801.42,-327.24,158,31,30,28,30,19,3,138,6
"0005",5,1485.32,1983.32,-498,158,33,36,33,33,2,3,137,7
"0011",4,1473.06,1733.06,-260,156,30,23,27,29,28,3,137,8
"0022",5,1412.36,1815.4,-403.04,140,26,32,32,27,7,3,124,9
"0032",4,1412.92,1668.32,-255.4,132,27,18,25,25,29,3,124,10
"0007",6,1391.04,1729.28,-338.24,138,24,22,34,26,16,3,122,11
"0028",2,1451.9,1743.36,-291.46,148,28,25,14,28,25,3,120,12
"0012",4,1404.4,1616.26,-211.86,132,25,15,24,24,32,3,120,13
